Transaction Type,Timekeeper Nickname 1,Client Nickname 1,Activity Nickname 1,Reference Nickname 1,Extra,Transaction Date,Hold
Expense,SamS,Dennis,Landscape Supplies,DENNI-Project01,Slip: e778,4/8/2013,No
Expense,ShawnR,Dighton,Snacks,DIGHT-Project02,Slip: e779,4/8/2013,No
Expense,TomH,Douglas,Consultants,EEE-Project,Slip: e780,4/8/2013,No
Expense,CoreyM,Dover,Hand Tools,III-Project,Slip: e781,4/8/2013,No
Expense,ElvisP,Dracut,Power Tools,OOO-Project,Slip: e782,4/8/2013,No
Expense,JamesR,Dudley,Cleanup Supplies,UUU-Project,Slip: e783,4/8/2013,No
Expense,SamS,Dunstable,Pavers,,Slip: e784,4/8/2013,No
Expense,ShawnR,Duxbury,Wood,AAA-Project,Slip: e785,4/9/2013,No
Expense,TomH,East Bridgewater,First aid,EASTB-Project01,Slip: e786,4/9/2013,No
Expense,CoreyM,East Brookfield,Plants,EASTB-Project02,Slip: e787,4/9/2013,No
Expense,ElvisP,East Longmeadow,Landscape Supplies,EEE-Project,Slip: e788,4/9/2013,No
Expense,JamesR,Eastham,Snacks,III-Project,Slip: e789,4/9/2013,No
Expense,SamS,Easthampton,Consultants,OOO-Project,Slip: e790,4/9/2013,No
Expense,ShawnR,Easton,Hand Tools,UUU-Project,Slip: e791,4/9/2013,No
Expense,TomH,Edgartown,Power Tools,,Slip: e792,4/9/2013,No
Expense,CoreyM,Egremont,Cleanup Supplies,AAA-Project,Slip: e793,4/10/2013,No
Expense,ElvisP,Erving,Pavers,EEE-Project,Slip: e794,4/10/2013,No
Expense,JamesR,Essex,Wood,ESSEX-Project01,Slip: e795,4/10/2013,No
Expense,SamS,Everett,First aid,EVERE-Project02,Slip: e796,4/10/2013,No
Expense,ShawnR,Fairhaven,Plants,III-Project,Slip: e797,4/10/2013,No
Expense,TomH,Fall River,Landscape Supplies,OOO-Project,Slip: e798,4/10/2013,No
Expense,CoreyM,Falmouth,Snacks,UUU-Project,Slip: e799,4/10/2013,No
Expense,ElvisP,Fitchburg,Consultants,,Slip: e800,4/10/2013,Yes
Expense,JamesR,Florida,Hand Tools,AAA-Project,Slip: e801,4/11/2013,No
Expense,SamS,Foxborough,Power Tools,EEE-Project,Slip: e802,4/11/2013,No
Expense,ShawnR,Framingham,Cleanup Supplies,FRAMI-Project01,Slip: e803,4/11/2013,No
Expense,TomH,Franklin,Pavers,FRANK-Project02,Slip: e804,4/11/2013,No
Expense,CoreyM,Freetown,Wood,III-Project,Slip: e805,4/11/2013,No
Expense,ElvisP,Gardner,First aid,OOO-Project,Slip: e806,4/11/2013,No
Expense,JamesR,Georgetown,Plants,UUU-Project,Slip: e807,4/11/2013,No
Expense,SamS,Gill,Landscape Supplies,,Slip: e808,4/11/2013,No
Expense,ShawnR,Gloucester,Snacks,AAA-Project,Slip: e809,4/12/2013,No
Expense,TomH,Goshen,Consultants,EEE-Project,Slip: e810,4/12/2013,No
Expense,CoreyM,Gosnold,Hand Tools,GOSNO-Project01,Slip: e811,4/12/2013,No
Expense,ElvisP,Grafton,Power Tools,GRAFT-Project02,Slip: e812,4/12/2013,No
Expense,JamesR,Granby,Cleanup Supplies,III-Project,Slip: e813,4/12/2013,No
Expense,SamS,Granville,Pavers,OOO-Project,Slip: e814,4/12/2013,No
Expense,ShawnR,Great Barrington,Wood,UUU-Project,Slip: e815,4/12/2013,No
Expense,TomH,Greenfield,First aid,,Slip: e816,4/12/2013,No
Expense,CoreyM,Groton,Plants,AAA-Project,Slip: e817,4/13/2013,No
Expense,ElvisP,Groveland,Landscape Supplies,EEE-Project,Slip: e818,4/13/2013,No
Expense,JamesR,Hadley,Snacks,HADLE-Project01,Slip: e819,4/13/2013,No
Expense,SamS,Halifax,Consultants,HALIF-Project02,Slip: e820,4/13/2013,No
Expense,ShawnR,Hamilton,Hand Tools,III-Project,Slip: e821,4/13/2013,No
Expense,TomH,Hampden,Power Tools,OOO-Project,Slip: e822,4/13/2013,No
Expense,CoreyM,Hancock,Cleanup Supplies,UUU-Project,Slip: e823,4/13/2013,No
Expense,ElvisP,Hanover,Pavers,,Slip: e824,4/13/2013,No
Expense,JamesR,Hanson,Wood,AAA-Project,Slip: e825,4/14/2013,Yes
Expense,SamS,Hardwick,First aid,EEE-Project,Slip: e826,4/14/2013,No
Expense,ShawnR,Harvard,Plants,HARVA-Project01,Slip: e827,4/14/2013,No
Expense,TomH,Harwich,Landscape Supplies,HARWI-Project02,Slip: e828,4/14/2013,No
Expense,CoreyM,Hatfield,Snacks,III-Project,Slip: e829,4/14/2013,No
Expense,ElvisP,Haverhill,Consultants,OOO-Project,Slip: e830,4/14/2013,No
Expense,JamesR,Hawley,Hand Tools,UUU-Project,Slip: e831,4/14/2013,No
Expense,SamS,Heath,Power Tools,,Slip: e832,4/14/2013,No
Expense,ShawnR,Hingham,Cleanup Supplies,AAA-Project,Slip: e833,4/15/2013,No
Expense,TomH,Hinsdale,Pavers,EEE-Project,Slip: e834,4/15/2013,No
Expense,CoreyM,Holbrook,Wood,HOLBR-Project01,Slip: e835,4/15/2013,No
Expense,ElvisP,Holden,First aid,HOLDE-Project02,Slip: e836,4/15/2013,No
Expense,JamesR,Holland,Plants,III-Project,Slip: e837,4/15/2013,No
Expense,SamS,Holliston,Landscape Supplies,OOO-Project,Slip: e838,4/15/2013,No
Expense,ShawnR,Holyoke,Snacks,UUU-Project,Slip: e839,4/15/2013,No
Expense,TomH,Hopedale,Consultants,,Slip: e840,4/15/2013,No
Expense,CoreyM,Hopkinton,Hand Tools,AAA-Project,Slip: e841,4/16/2013,No
Expense,ElvisP,Hubbardston,Power Tools,EEE-Project,Slip: e842,4/16/2013,No
Expense,JamesR,Hudson,Cleanup Supplies,HUDSO-Project01,Slip: e843,4/16/2013,No
Expense,SamS,Hull,Pavers,HULL-Project02,Slip: e844,4/16/2013,No
Expense,ShawnR,Huntington,Wood,III-Project,Slip: e845,4/16/2013,No
Expense,TomH,Ipswich,First aid,OOO-Project,Slip: e846,4/16/2013,No
Expense,CoreyM,Kingston,Plants,UUU-Project,Slip: e847,4/16/2013,No
Expense,ElvisP,Lakeville,Landscape Supplies,,Slip: e848,4/16/2013,No
Expense,JamesR,Lancaster,Snacks,AAA-Project,Slip: e849,4/17/2013,No
Expense,SamS,Lanesborough,Consultants,EEE-Project,Slip: e850,4/17/2013,Yes
Expense,ShawnR,Lawrence,Hand Tools,III-Project,Slip: e851,4/17/2013,No
Expense,TomH,Lee,Power Tools,LEE-Project01,Slip: e852,4/17/2013,No
Expense,CoreyM,Leicester,Cleanup Supplies,LEICE-Project02,Slip: e853,4/17/2013,No
Expense,ElvisP,Lenox,Pavers,OOO-Project,Slip: e854,4/17/2013,No
Expense,JamesR,Leominster,Wood,UUU-Project,Slip: e855,4/17/2013,No
Expense,SamS,Leverett,First aid,,Slip: e856,4/17/2013,No
Expense,ShawnR,Lexington,Plants,AAA-Project,Slip: e857,4/18/2013,No
Expense,TomH,Leyden,Landscape Supplies,EEE-Project,Slip: e858,4/18/2013,No
Expense,CoreyM,Lincoln,Snacks,III-Project,Slip: e859,4/18/2013,No
Expense,ElvisP,Littleton,Consultants,LITTL-Project01,Slip: e860,4/18/2013,No
Expense,JamesR,Longmeadow,Hand Tools,LONGM-Project02,Slip: e861,4/18/2013,No
Expense,SamS,Lowell,Power Tools,OOO-Project,Slip: e862,4/18/2013,No
Expense,ShawnR,Ludlow,Cleanup Supplies,UUU-Project,Slip: e863,4/18/2013,No
Expense,TomH,Lunenburg,Pavers,,Slip: e864,4/18/2013,No
Expense,CoreyM,Lynn,Wood,AAA-Project,Slip: e865,4/19/2013,No
Expense,ElvisP,Lynnfield,First aid,EEE-Project,Slip: e866,4/19/2013,No
Expense,JamesR,Malden,Plants,III-Project,Slip: e867,4/19/2013,No
Expense,SamS,Manchester-by-the-Sea,Landscape Supplies,MANCH-Project01,Slip: e868,4/19/2013,No
Expense,ShawnR,Mansfield,Snacks,MANSF-Project02,Slip: e869,4/19/2013,No
Expense,TomH,Marblehead,Consultants,OOO-Project,Slip: e870,4/19/2013,No
Expense,CoreyM,Marion,Hand Tools,UUU-Project,Slip: e871,4/19/2013,No
Expense,ElvisP,Marlborough,Power Tools,,Slip: e872,4/19/2013,No
Expense,JamesR,Marshfield,Cleanup Supplies,AAA-Project,Slip: e873,4/20/2013,No
Expense,SamS,Mashpee,Pavers,EEE-Project,Slip: e874,4/20/2013,No
Expense,ShawnR,Mattapoisett,Wood,III-Project,Slip: e875,4/20/2013,Yes
Expense,TomH,Maynard,First aid,MAYNA-Project01,Slip: e876,4/20/2013,No
Expense,CoreyM,Medfield,Plants,MEDFI-Project02,Slip: e877,4/20/2013,No
Expense,ElvisP,Medford,Landscape Supplies,OOO-Project,Slip: e878,4/20/2013,No
Expense,JamesR,Medway,Snacks,UUU-Project,Slip: e879,4/20/2013,No
Expense,SamS,Melrose,Consultants,,Slip: e880,4/20/2013,No
Expense,ShawnR,Mendon,Hand Tools,AAA-Project,Slip: e881,4/21/2013,No
Expense,TomH,Merrimac,Power Tools,EEE-Project,Slip: e882,4/21/2013,No
Expense,CoreyM,Methuen,Cleanup Supplies,III-Project,Slip: e883,4/21/2013,No
Expense,ElvisP,Middleborough,Pavers,MIDDL-Project01,Slip: e884,4/21/2013,No
Expense,JamesR,Middlefield,Wood,MIDDL-Project02,Slip: e885,4/21/2013,No
Expense,SamS,Middleton,First aid,OOO-Project,Slip: e886,4/21/2013,No
Expense,ShawnR,Milford,Plants,UUU-Project,Slip: e887,4/21/2013,No
Expense,TomH,Millbury,Landscape Supplies,,Slip: e888,4/21/2013,No
Expense,CoreyM,Millis,Snacks,AAA-Project,Slip: e889,4/22/2013,No
Expense,ElvisP,Millville,Consultants,EEE-Project,Slip: e890,4/22/2013,No
Expense,JamesR,Milton,Hand Tools,III-Project,Slip: e891,4/22/2013,No
Expense,SamS,Monroe,Power Tools,MONRO-Project01,Slip: e892,4/22/2013,No
Expense,ShawnR,Monson,Cleanup Supplies,MONSO-Project02,Slip: e893,4/22/2013,No
Expense,TomH,Montague,Pavers,OOO-Project,Slip: e894,4/22/2013,No
Expense,CoreyM,Monterey,Wood,UUU-Project,Slip: e895,4/22/2013,No
Expense,ElvisP,Montgomery,First aid,,Slip: e896,4/22/2013,No
Expense,JamesR,Mount Washington,Plants,AAA-Project,Slip: e897,4/23/2013,No
Expense,SamS,Nahant,Landscape Supplies,EEE-Project,Slip: e898,4/23/2013,No
Expense,ShawnR,Nantucket,Snacks,III-Project,Slip: e899,4/23/2013,No
Expense,TomH,Natick,Consultants,NATIC-Project01,Slip: e900,4/23/2013,Yes
Expense,CoreyM,Needham,Hand Tools,NEEDH-Project02,Slip: e901,4/23/2013,No
Expense,ElvisP,New Ashford,Power Tools,OOO-Project,Slip: e902,4/23/2013,No
Expense,JamesR,New Bedford,Cleanup Supplies,UUU-Project,Slip: e903,4/23/2013,No
Expense,SamS,New Braintree,Pavers,,Slip: e904,4/23/2013,No
Expense,ShawnR,New Marlborough,Wood,AAA-Project,Slip: e905,4/24/2013,No
Expense,TomH,New Salem,First aid,EEE-Project,Slip: e906,4/24/2013,No
Expense,CoreyM,Newbury,Plants,III-Project,Slip: e907,4/24/2013,No
Expense,ElvisP,Newburyport,Landscape Supplies,NEWBU-Project01,Slip: e908,4/24/2013,No
Expense,JamesR,Newton,Snacks,NEWTO-Project02,Slip: e909,4/24/2013,No
Expense,SamS,Norfolk,Consultants,OOO-Project,Slip: e910,4/24/2013,No
Expense,ShawnR,North Adams,Hand Tools,UUU-Project,Slip: e911,4/24/2013,No
Expense,TomH,North Andover,Power Tools,,Slip: e912,4/24/2013,No
Expense,CoreyM,North Attleborough,Cleanup Supplies,AAA-Project,Slip: e913,4/25/2013,No
Expense,ElvisP,North Brookfield,Pavers,EEE-Project,Slip: e914,4/25/2013,No
Expense,JamesR,North Reading,Wood,III-Project,Slip: e915,4/25/2013,No
Expense,SamS,Northampton,First aid,NORTH-Project01,Slip: e916,4/25/2013,No
Expense,ShawnR,Northborough,Plants,NORTH-Project02,Slip: e917,4/25/2013,No
Expense,TomH,Northbridge,Landscape Supplies,OOO-Project,Slip: e918,4/25/2013,No
Expense,CoreyM,Northfield,Snacks,UUU-Project,Slip: e919,4/25/2013,No
Expense,ElvisP,Norton,Consultants,,Slip: e920,4/25/2013,No
Expense,JamesR,Norwell,Hand Tools,AAA-Project,Slip: e921,4/26/2013,No
Expense,SamS,Norwood,Power Tools,EEE-Project,Slip: e922,4/26/2013,No
Expense,ShawnR,Oak Bluffs,Cleanup Supplies,III-Project,Slip: e923,4/26/2013,No
Expense,TomH,Oakham,Pavers,OAKHA-Project01,Slip: e924,4/26/2013,No
Expense,CoreyM,Orange,Wood,ORANG-Project01,Slip: e925,4/26/2013,Yes
Expense,ElvisP,Orleans,First aid,ORLEA-Project02,Slip: e926,4/26/2013,No
Expense,JamesR,Otis,Plants,UUU-Project,Slip: e927,4/26/2013,No
Expense,SamS,Oxford,Landscape Supplies,,Slip: e928,4/26/2013,No
Expense,ShawnR,Palmer,Snacks,AAA-Project,Slip: e929,4/27/2013,No
Expense,TomH,Paxton,Consultants,EEE-Project,Slip: e930,4/27/2013,No
Expense,CoreyM,Peabody,Hand Tools,III-Project,Slip: e931,4/27/2013,No
Expense,ElvisP,Pelham,Power Tools,OOO-Project,Slip: e932,4/27/2013,No
Expense,JamesR,Pembroke,Cleanup Supplies,PEMBR-Project01,Slip: e933,4/27/2013,No
Expense,SamS,Pepperell,Pavers,PEPPE-Project02,Slip: e934,4/27/2013,No
Expense,ShawnR,Peru,Wood,UUU-Project,Slip: e935,4/27/2013,No
Expense,TomH,Petersham,First aid,,Slip: e936,4/27/2013,No
Expense,CoreyM,Phillipston,Plants,AAA-Project,Slip: e937,4/28/2013,No
Expense,ElvisP,Pittsfield,Landscape Supplies,EEE-Project,Slip: e938,4/28/2013,No
Expense,JamesR,Plainfield,Snacks,III-Project,Slip: e939,4/28/2013,No
Expense,SamS,Plainville,Consultants,OOO-Project,Slip: e940,4/28/2013,No
Expense,ShawnR,Plymouth,Hand Tools,PLYMO-Project01,Slip: e941,4/28/2013,No
Expense,TomH,Plympton,Power Tools,PLYMP-Project02,Slip: e942,4/28/2013,No
Expense,CoreyM,Princeton,Cleanup Supplies,UUU-Project,Slip: e943,4/28/2013,No
Expense,ElvisP,Provincetown,Pavers,,Slip: e944,4/28/2013,No
Expense,JamesR,Quincy,Wood,AAA-Project,Slip: e945,4/29/2013,No
Expense,SamS,Randolph,First aid,EEE-Project,Slip: e946,4/29/2013,No
Expense,ShawnR,Raynham,Plants,III-Project,Slip: e947,4/29/2013,No
Expense,TomH,Reading,Landscape Supplies,OOO-Project,Slip: e948,4/29/2013,No
Expense,CoreyM,Rehoboth,Snacks,REHOB-Project01,Slip: e949,4/29/2013,No
Expense,ElvisP,Revere,Consultants,REVER-Project02,Slip: e950,4/29/2013,Yes
Expense,JamesR,Richmond,Hand Tools,UUU-Project,Slip: e951,4/29/2013,No
Expense,SamS,Rochester,Power Tools,,Slip: e952,4/29/2013,No
Expense,ShawnR,Rockland,Cleanup Supplies,AAA-Project,Slip: e953,4/30/2013,No
Expense,TomH,Rockport,Pavers,EEE-Project,Slip: e954,4/30/2013,No
Expense,CoreyM,Rowe,Wood,III-Project,Slip: e955,4/30/2013,No
Expense,ElvisP,Rowley,First aid,OOO-Project,Slip: e956,4/30/2013,No
Expense,JamesR,Royalston,Plants,ROYAL-Project01,Slip: e957,4/30/2013,No
Expense,SamS,Russell,Landscape Supplies,RUSSE-Project02,Slip: e958,4/30/2013,No
Expense,ShawnR,Rutland,Snacks,UUU-Project,Slip: e959,4/30/2013,No
Expense,TomH,Salem,Consultants,,Slip: e960,4/30/2013,No
Expense,CoreyM,Salisbury,Hand Tools,AAA-Project,Slip: e961,5/1/2013,No
Expense,ElvisP,Sandisfield,Power Tools,EEE-Project,Slip: e962,5/1/2013,No
Expense,JamesR,Sandwich,Cleanup Supplies,III-Project,Slip: e963,5/1/2013,No
Expense,SamS,Saugus,Pavers,OOO-Project,Slip: e964,5/1/2013,No
Expense,ShawnR,Savoy,Wood,SAVOY-Project01,Slip: e965,5/1/2013,No
Expense,TomH,Scituate,First aid,SCITU-Project02,Slip: e966,5/1/2013,No
Expense,CoreyM,Seekonk,Plants,UUU-Project,Slip: e967,5/1/2013,No
Expense,ElvisP,Sharon,Landscape Supplies,,Slip: e968,5/1/2013,No
Expense,JamesR,Sheffield,Snacks,AAA-Project,Slip: e969,5/2/2013,No
Expense,SamS,Shelburne,Consultants,EEE-Project,Slip: e970,5/2/2013,No
Expense,ShawnR,Sherborn,Hand Tools,III-Project,Slip: e971,5/2/2013,No
Expense,TomH,Shirley,Power Tools,OOO-Project,Slip: e972,5/2/2013,No
Expense,CoreyM,Shrewsbury,Cleanup Supplies,SHREW-Project01,Slip: e973,5/2/2013,No
Expense,ElvisP,Shutesbury,Pavers,SHUTE-Project02,Slip: e974,5/2/2013,No
Expense,JamesR,Somerset,Wood,UUU-Project,Slip: e975,5/2/2013,Yes
Expense,SamS,Somerville,First aid,,Slip: e976,5/2/2013,No
Expense,ShawnR,South Hadley,Plants,AAA-Project,Slip: e977,5/3/2013,No
Expense,TomH,Southampton,Landscape Supplies,EEE-Project,Slip: e978,5/3/2013,No
Expense,CoreyM,Southborough,Snacks,III-Project,Slip: e979,5/3/2013,No
Expense,ElvisP,Southbridge,Consultants,OOO-Project,Slip: e980,5/3/2013,No
Expense,JamesR,Southwick,Hand Tools,SOUTH-Project01,Slip: e981,5/3/2013,No
Expense,SamS,Spencer,Power Tools,SPENC-Project02,Slip: e982,5/3/2013,No
Expense,ShawnR,Springfield,Cleanup Supplies,UUU-Project,Slip: e983,5/3/2013,No
Expense,TomH,Sterling,Pavers,,Slip: e984,5/3/2013,No
Expense,CoreyM,Stockbridge,Wood,AAA-Project,Slip: e985,5/4/2013,No
Expense,ElvisP,Stoneham,First aid,EEE-Project,Slip: e986,5/4/2013,No
Expense,JamesR,Stoughton,Plants,III-Project,Slip: e987,5/4/2013,No
Expense,SamS,Stow,Landscape Supplies,OOO-Project,Slip: e988,5/4/2013,No
Expense,ShawnR,Sturbridge,Snacks,STURB-Project01,Slip: e989,5/4/2013,No
Expense,TomH,Sudbury,Consultants,SUDBU-Project02,Slip: e990,5/4/2013,No
Expense,CoreyM,Sunderland,Hand Tools,UUU-Project,Slip: e991,5/4/2013,No
Expense,ElvisP,Sutton,Power Tools,,Slip: e992,5/4/2013,No
Expense,JamesR,Swampscott,Cleanup Supplies,AAA-Project,Slip: e993,5/5/2013,No
Expense,SamS,Swansea,Pavers,EEE-Project,Slip: e994,5/5/2013,No
Expense,ShawnR,Taunton,Wood,III-Project,Slip: e995,5/5/2013,No
Expense,TomH,Templeton,First aid,OOO-Project,Slip: e996,5/5/2013,No
Expense,CoreyM,Tewksbury,Plants,TEWKS-Project01,Slip: e997,5/5/2013,No
Expense,ElvisP,Tisbury,Landscape Supplies,TISBU-Project02,Slip: e998,5/5/2013,No
Expense,JamesR,Tolland,Snacks,UUU-Project,Slip: e999,5/5/2013,No
Expense,SamS,Topsfield,Consultants,,Slip: e1000,5/5/2013,Yes
Expense,ShawnR,Townsend,Hand Tools,AAA-Project,Slip: e1001,5/6/2013,No
Expense,TomH,Truro,Power Tools,EEE-Project,Slip: e1002,5/6/2013,No
Expense,CoreyM,Tyngsborough,Cleanup Supplies,III-Project,Slip: e1003,5/6/2013,No
Expense,ElvisP,Tyringham,Pavers,OOO-Project,Slip: e1004,5/6/2013,No
Expense,JamesR,Upton,Wood,UPTON-Project01,Slip: e1005,5/6/2013,No
Expense,SamS,Uxbridge,First aid,UXBRI-Project01,Slip: e1006,5/6/2013,No
Expense,ShawnR,Wakefield,Plants,WAKEF-Project02,Slip: e1007,5/6/2013,No
Expense,TomH,Wales,Landscape Supplies,,Slip: e1008,5/6/2013,No
Expense,CoreyM,Walpole,Snacks,AAA-Project,Slip: e1009,5/7/2013,No
Expense,ElvisP,Waltham,Consultants,EEE-Project,Slip: e1010,5/7/2013,No
Expense,JamesR,Ware,Hand Tools,III-Project,Slip: e1011,5/7/2013,No
Expense,SamS,Wareham,Power Tools,OOO-Project,Slip: e1012,5/7/2013,No
Expense,ShawnR,Warren,Cleanup Supplies,UUU-Project,Slip: e1013,5/7/2013,No
Expense,TomH,Warwick,Pavers,WARWI-Project01,Slip: e1014,5/7/2013,No
Expense,CoreyM,Washington,Wood,WASHI-Project02,Slip: e1015,5/7/2013,No
Expense,ElvisP,Watertown,First aid,,Slip: e1016,5/7/2013,No
Expense,JamesR,Wayland,Plants,AAA-Project,Slip: e1017,5/8/2013,No
Expense,SamS,Webster,Landscape Supplies,EEE-Project,Slip: e1018,5/8/2013,No
Expense,ShawnR,Wellesley,Snacks,III-Project,Slip: e1019,5/8/2013,No
Expense,TomH,Wellfleet,Consultants,OOO-Project,Slip: e1020,5/8/2013,No
Expense,CoreyM,Wendell,Hand Tools,UUU-Project,Slip: e1021,5/8/2013,No
Expense,ElvisP,Wenham,Power Tools,WENHA-Project01,Slip: e1022,5/8/2013,No
Expense,JamesR,West Boylston,Cleanup Supplies,WESTB-Project02,Slip: e1023,5/8/2013,No
